COUNTRY,META,COWCCODE,REGION,STARTYEAR,ENDYEAR,CIVFATLOW,CIVFATHIGH,AVGFAT,DESCRIPTION,SUMMARY,VICTIMGROUP,"VICTIMTYPE
(ethnic/religious, political, other)",NOTES,SOURCE
Zanzibar,Political Repression,511,Sub-Saharan Africa,1964,1964,4000,5000,4500,"In 1964, the Zanzibari  government dominated by black Africans killed thousands of civilians following a coup that overthrew the Sultan and Arab dominated government. In 1963, the island of Zanzibar became a constitutional monarchy after gaining independence from Britain. The new constitutionally elected government continued to be dominated by the Arab minority. On January 12, 1964, the black African majority staged an insurgency that overthrew the Sultan and the government. In the aftermath, the insurgents tortured, imprisoned and massacred thousands of the Arab and Asian population.",Government represses Arabs.,Arabs,Ethnic,,CSY
Congo, CNL/Simbas,484,Sub-Saharan Africa,1964,1965,2000,5000,3500,"Between 1964 and 1965, the Congolese government killed thousands of civilians during efforts to defeat an insurgency. Following the dissolution of parliament in September 1963, supporters of former prime minister Patrice Lumumba and regional strongmen Christophe Gbenye and Laurent Kabila organized an antigovernment coalition, the Conseil National de Libération, and rebelled against the central Leopoldville government. The rebels, known as ""simba"" fighters, controlled the eastern half of the country and set up a provisional government in Stanleyville. The central government recruited South Africans and white mercenaries for the counterinsurgency campaign. During the conflict, civilians were murdered by both sides, including by the government mercenaries which massacred thousands of civilians suspected of being simbas. The conflict ended on October 10, 1965 when the government captured the last revel stronghold in Fizi.",Government kills civilians during effort to defeat Conseil National de Libération/Simba insurgency,Suspected supporters of Conseil National de Libération/Simba insurgency,Political,ONLY government killings,CSY
Malawi,Political Repression,553,Sub-Saharan Africa,1964,1994,6000,6000,6000,"Between 1961 and 1994, the Malawi government under Hastings Kamuzu Banda killed thousands of political dissidents. After gaining independence on July 9, 1964, Malawi was under the autocratic rule of Life-President Hastings Kamuzu Banda and his one-party state. Under Banda, the government tortured, killed and imprisoned without trial thousands of political dissidents. In particular, Banda's government, formed mostly of Chi-Chewa speakers from central region including Banda himself, repressed the Chi-Tumbuka speaking northerners, who had enjoyed privileges during the colonial period. In one prominent case called the ""Mwanza Four Incident,"" Banda ordered the torture and murder of four leading politicians who had expressed support for multiparty democracy and whose deaths were covered up as road accidents. Banda's rule ended on May 17, 1994 with his defeat in the first multiparty presidential elections.",Government represses suspected political opponents.,Suspected opponents of Banda regime,Political and ethnic,,CSY
Colombia," FARC, ELN, etc",100,Latin America and Caribbean,1965,2010,40000,60000,50000,"Between 1965 and 2010, the Colombian government and government backed right-wing paramilitaries killed tens of thousands of civilians during the civil war against leftist guerillas such as the Revolutionary Armed Forces of Colombia (FARC) and National Liberation Army (ELN). Rooted in liberal guerillas during La Violencia (1948-1958), the FARC was formed in 1964 as a military wing of the Communist party, while the ELN was founded in 1964 with strong influences from both communism and liberation theology. To suppress these guerilla groups, the government military collaborated with and supported paramilitary troops which committed atrocities against civilians suspected of supporting the guerillas. The government security forces were also responsible for “disappearances” and extrajudicial killings of civilians. While the conflict is ongoing, in recent years, the violence has decreased with the beginning of peace talks between the government and guerillas",Government kills civilians during effort to defeat leftist insurgencies.,"Suspected supporters of left wing insurgency (FRAC, ELN, etc).",Political,,CSY
Dominican Republic, civil war,42,Latin America and Caribbean,1965,1978,4000,5000,4500,"Between 1965 and 1978, the government under Joaquín Balaguer killed thousands of civilians during efforts to suppress popular uprisings and eliminate political opposition. On April 24, 1965, the Dominican civil war, known as ""Guerra de Abril,"" began with a coup d’etat of military officers and popular uprising of civilians demanding the restoration of President Juan Bosch who had been overthrown by the military junta in September, 1963. During the resulting civil war between Constitutionalists and Loyalists, thousands of civilians were killed by the government military forces. After the intervention of US Marines and a the truce, former President Balaguer came to power during elections in 1966. During the next twelve years of his presidency, Balaguer’s regime consolidated his power through thousands of political assassinations and disappearances of civilians. In 1978, Balaguer’s rule ended when he lost elections to Silvestre Antonio Guzmán Fernández.",Government of Joaquín Balaguer kills civilians during effort to suppress uprisings and political opposition.,Suspected political opponents of Joaquín Balaguer,Political,,CSY
Indonesia, Anti-Communist Massacres,850,East Asia and Pacific,1965,1966,250000,500000,375000,"Between 1965 and 1966, the Indonesian government under General Suharto killed hundreds of thousands of suspected communists in anti-communist purges following a failed communist coup. Since President Sukarno came to power in 1957, tensions between the Indonesian Communist Party (PKI) and the military had been escalating. On September 30, 1965, a group of soldiers supported by the communists seized and assassinated senior military officers, proclaiming that they were defending the president from a military coup backed by the United States CIA. The Indonesia army led by General Suharto quickly suppressed the Communist coup and took over the government. In the subsequent months, Suharto’s government launched a massive anti-Communist purge, in which the army and local civilians killed up to an estimated half a million suspected Communists and sympathizers and ethnic Chinese. The killing subsided in the early months of 1966.","After attempted Communist coup, Muslim vigilantes massacre Party members and ethnic Chinese. After government formally bans Party; military eliminates suspected Communists and sympathizers. (Harff)","suspect supporters of communist party, Ethnic Chinese",Political and Ethnic,,CSY
Burundi,,516,Sub-Saharan Africa,1965,1973,100000,200000,150000,"Between 1965 and 1973, the Burundi's Tutsi-led government killed over a hundred thousand Hutu civilians in response to Hutu violence against Tutsis. After Burundi’s independence from Belgium in 1962, tensions escalated between Burundi’s two dominant ethnic groups, the majority Hutu and minority Tutsi. During the first elections in May 1965, Hutus gained a landslide victory, but when King Mwambutsa IV appointed a Tutsi prime minister in October 1965, angry Hutu military officers attempted a coup to overthrow the government. The Tutsi-controlled army suppressed the coup, massacred thousands of Hutu civilians, and established a Tutsi-dominated government. From 1966 to 1972, the Tutsi government purged Hutus from the army and government. In April 1972, Hutus in the southern part of Burundi rose up in rebellion and killed hundreds of Tutsi civilians. In response, the government proclaimed martial law and launched a mass killing of Hutu elites and civilians. Between 1972 and 1973, hundreds of thousands of Hutus were massacred by the Tutsi government.","Attempted coup by Hutu units in 1965 results in massacres of Tutsis countryside.  Ruling Tutsis respond by unleashing Tutsi-dominated Army to destroy Hutu leaders.  In 1972, militant Hutus massacre Tutsis, Tutsi regime responds with massive killings. (Harff)",suspected supporters of Hutu rebellions and political opposition,Ethnic,,CSY
Cambodia,Civil War,811,East Asia and Pacific,1967,1975,85000,200000,142500,"Between 1967 and 1975, the Cambodian government killed hundreds of thousands of civilians during efforts to defeat the Khmer Rouge communist insurgency. After Cambodia’s independence from France in 1949, Cambodia's monarch King Sihanouk suppressed communist threats to his power. During the 1950’s, leftist groups formed bolstered by support from the Vietnamese Communists. In 1960’s the conflict in neighboring Vietnam spilled over into Cambodia when North Vietnamese Communists used bases along the Cambodian border. The Marxist group Khmer Rouge, led by Saloth Sar (later “Pol Pot”), withdrew to the border and began a guerilla movement against the Cambodian government. On 11 March 1967, the government brutally suppressed an uprising of peasants in the Battambang province, increasing popular support for the Khmer Rouge. In March 1970, the Prime Minister Lon Nol seized power from the king after a military coup supported by the United States. The Lon Nol government fought against the Northern Vietnamese and Khmer Rouge, which increasingly gained support and recruits because of indiscriminate US bombing campaigns against civilians. During efforts to defeat the Khmer Rouge, Lon Nol’s government with US support killed hundreds of thousands of Cambodian civilians and ethnic Vietnamese. The war ended with the victory of the Khmer Rouge which entered the city Phnom Penh on April 17, 1975.",Government kills civilians during effort to defeat leftist Khmer Rouge insurgency. ,"suspected supporters of Khmer Rouge communist insurgency, Vietnamese",Political and Ethnic,This one was very complicated. I was not sure how the Battambang uprising started the civil war. Was the uprising orchestrated by leftists? Or was it just a peasant uprising which was violently suppressed and decreased support for the government? Confusing.,CSY
Nigeria,Biafra,475,Sub-Saharan Africa,1967,1970,600000,2000000,1300000,"Between 1967 and 1970, the Nigerian central government killed hundreds of thousands of civilians during the civil war and the government's blockade of the secessionist state Biafra which resulted in mass starvation. In 1967, the Igbos of southeastern Nigeria, who had longstanding grievances against the government, rose up in rebellion and announced secession from Nigeria and an independent state Biafra. During the subsequent civil war, the Nigerian government attempted to starve the rebellion by imposing a blockage beginning on May 30, 1967 which prevented food, medical supplies and all relief assistance from reaching the territory. As a result of the federal blockade, hundreds of thousands and perhaps up to an estimated two million civilians died from malnutrition and famine. The war ended in January 1970, with the surrender of the secessionists.
","In response to a separatist rebellion by mainly Igbo peoples in Eastern Nigeria (Biafra), the Federal government imposes a blockage on May 30, 1967, that prevents food, medical supplies, and other forms of relief assistance from reaching affected populations. Deaths result mainly from starvation and disease caused by severe deprivation. (Harff)","Supporters of Biafran secessionist movement, Igbo tribe members",Ethnic and Political,,CSY
Equatorial Guinea,,411,Sub-Saharan Africa,1969,1979,40000,50000,45000,"Between 1968 and 1979, the government under Francisco Macías Nguema killed tens of thousands of political opponents and ethnic  Bubi separatists. After Equatorial Guinea’s independence from Spain in 1968, Francisco Macías Nguema was elected the first president of Equatorial Guinea. Subsequently, Macías created a one-party state dominated by family members and passed a constitution granting himself absolute power as president for life. During his eleven year rule, his repressive regime was called the “Dachau of Africa” for its reign of terror which led to the exodus of an estimated third of the population, the institution of forced labor and the murder of tens of thousands, including political opponents, intellectuals, Catholic clergy and the ethnic minority Bubi people. In August 1979, Macías was overthrown by his nephew, Lieutenant Col Teodoro Obiang.","Equatorial Guinea gained independence from Spain on October 12, 1968. In an attempt to consolidate power following his victory in the country's first presidential election (September 1968), President Macias pressures Spanish residents to abandon control of the economy in February 1969. The ensuing crisis triggers an unsuccessful coup attempt, which triggers a violent and sustained crackdown on all political opposition, including ethnic-Bubi separatists on the island of Fernando Po (now known as Bioko). State terror ends with a successful coup led by Macias' nephew in August 1979. (Harff)","Suspected political opponents of Macias regime, members of Bubi tribe",Political and Ethnic,,CSY
Philippines (New People's Army),,840,East Asia and Pacific,1969,.,5000,8000,6500,"Since 1969, the government has killed thousands of civilians in its counterinsurgency efforts against communist armed insurgents.  In 1969, the New People’s Army  (NPA) was formed as the military arm of the Communist Party of the Philippines, Marxist-Leninist and began a guerilla war against the regime of President Ferdinand Marcos with the goal of establishing a Maoist rural revolution. In 1972, Marcos declared martial law and oversaw the arrest and torture of tens of thousands and extrajudicial killings of thousands of suspected communists and NPA sympathizers. After Marcos was overthrown in 1986, the conflict has continued as well as the government and paramilitary extrajudicial killings.",Government kills civilians during effort to defeat insurgency by communist New People's Army.,"Suspected supporters of New People's Army communist insurgency, other political opponents of Marcos",Political,,CSY
Indonesia (West Papua - OPM),,850,East Asia and Pacific,1969,2007,40000,40000,40000,"Between 1969 and 2007, the Indonesian government killed hundreds of thousands of indigenous Papuans during efforts to defeat the West Papuan secessionist insurgency. In 1964, Free Papua Movement (OPM) and its armed wing, the National Liberation Army, was formed to fight for the secession of Irian Jaya (today the Papua and West Papua provinces) and began a guerilla war against the Indonesian government. Since 1969, the Indonesian military, police and paramilitary have violently suppressed the movement through torture, forced detention and rape and killed hundreds of thousands of Papuan civilians and suspected OPM sympathizers. While low-level conflict between the government and OPM continues, the violence has declined in recent years.",Government kills civilians during effort to defeat West Papuan secessionist insurgency.,Suspected supporters of West Papuan secessionist insurgency.,Ethnic,,CSY
Jordan (PLO),,663,Middle East and North Africa,1970,1971,1000,1000,1000,"Between 1970 and 1971, the Jordanian government killed an estimated thousand Palestinian civilians during the conflict against the Palestinian Liberation Organization (PLO) in Jordan. After the Six-Day War in 1967, Palestinian refugees flooded into Jordan and comprised half of Jordan’s population. Under the leadership of Yasser Arafat, the PLO began to launch guerilla war against Israel from Jordanian territory, inciting Israeli retaliation against Jordan and increasing the tension between the PLO and Jordan’s leader King Hussein. On September 1 1970, Hussein escaped an assassination attempt by Palestinian commandos, triggering fighting between the PLO and the Jordanian military. During the conflict, the Jordanian military killed an estimated thousand suspected Palestinian fighters. Despite a cease-fire between the government and the PLO on September 25, 1970, the conflict continued and culminated in Jordan's expulsion of the PLO to Lebanon in July 1971.",Jordanian government kills civilians during effort to expel Palestinian Liberation Organization from Jordan,Palestinians,Political,,CSY
Uganda (Amin),,500,Sub-Saharan Africa,1971,1979,30000,300000,165000,"Between 1971 and 1979, the government under Idi Amin killed hundreds of thousands of civilians. In January 1971, General Amin, the army second-in-command, seized power while the President Milton Obote was abroad on a diplomatic mission. Subsequently, Amin purged the army and police of Obote supporters, massacring thousands of Acholi and Langi troops. His erratic rule was characterized by his often whimsical extrajudicial killings and human rights abuses. Particularly notorious was his expulsion of tens of thousands of Asians in August 1972, after which he seized their businesses and property. During his dictatorship, Amin also killed priests, political opponents, personal enemies, and ethnic groups. After invading Tanzania to fight rebels, Amin was overthrown and exiled by a Tanzanian invasion in April 1979.","After General Amin seizes power, he systematically exterminates political opponents and personal enemies.  Tribes closely associated with his predecessor also are targeted for destruction. Amin's regime is ousted by Tanzanian invasion in April 1979. (Harff)","Suspected opponents of the Amin regime, Acholi and Langi tribe members, Christian church leaders",Political and Ethnic,,CSY
Pakistan (Bangladesh),,770,South Asia,1971,1971,300000,1000000,650000,"In 1971, the West Pakistani government killed hundreds of thousands of Bengali civilians during the war of independence of East Pakistan (today Bangladesh). On March 25, 1971 the West Pakistani army began a military crackdown to eliminate Bengali nationalism in East Pakistan and conducted systematic killings of Bengali civilians, particularly the intelligentsia, students and Hindu minority. The military operation provoked armed Bengali separatist resistance and sparked the Bangladesh Liberation War in March 1971. During the nine month war, the West Pakistani army waged a campaign of terror which indiscriminately attacked Bengali civilians and was complicit in acts of mass rape. The war ended on December 16, 1971 with the defeat of the West Pakistani army by the joint forces of India and Bangladesh.","General strikes by Bengali nationalists are met with martial law.  Military deploys in force with tanks, airpower, and artillery and indiscriminately attacks civilians. (Harff)",Suspected supporters of Bengali separatist movement,Ethnic,,CSY
Sri Lanka (JVP I),,780,South Asia,1971,1971,2000,8000,5000,"In 1971, the government killed thousands of civilians during efforts to suppress the leftist armed rebellion of the People’s Liberation Front (Janatha Vimukthi Peramuna). On April 5, 1971, the Janatha Vimukthi Peramuna (JVP), a Marxist rural youth movement and political party formed in 1967, launched a planned armed insurrection by attacking police stations nationwide. During the counterinsurgency campaign, the government used excessive force, killing suspected supporters of the JVP, particularly youths. The insurrection was suppressed by June 9, 1971.","Government kills civilians during effort to suppress leftist rebellion by the People's Liberation Front (Janatha Vimukthi Peramuna--JVP), a Maoist and primarily rural Sinhalese youth movement.",Suspected supporters of (Janatha Vimukthi Peramuna--JVP) insurgency,Political,,CSY
Philippines (Moro Civil War),,840,East Asia and Pacific,1972,1986,30000,60000,45000,"Between 1972 and 1986, the government killed tens of thousands of Moro civilians during efforts to suppress Moro Muslim secessionist movements. In 1968, the murder of Moro Muslim army recruits by the Philippine army on Corregidor Island catalyzed the creation of Moro Muslim secessionist movements. These movements, including the Moro National Liberation Front (MNLF) and the Moro Islamic Liberation Front (MILF), began waging guerilla warfare for an independent Islamic state in the southern Philippines for the indigenous Muslim minority, the Moro. After declaring martial law in September 1972, President Ferdinand Marcos began a brutal campaign to suppress the rebellion, indiscriminately killing tens of thousands of Moro. Despite a truce in 1976, fighting continued in 1977. Although the conflict is ongoing, most of the government’s intentional killing of civilians ended with the end of the Marcos regime in 1986.",Moro resistance to government-sponsored Christian settlement and support of guerrillas fighting for autonomy results in military and paramilitary terror tactics in which many Moros are killed in massacres and napalm bombings. (Harff),Suspected supporters of Moro separatist insurgency,Ethnic,,CSY
Zimbabwe/Rhodesia (Civil War),,552,Sub-Saharan Africa,1972,1979,4000,10000,7000,"Between 1972 and 1979, the white-minority Rhodesian government killed thousands of civilians during efforts to suppress black nationalist guerrillas in the Rhodesian Bush War. In 1965, the Rhodesian government under Ian Smith unilaterally declared independence from Britain in an attempt to preserve white minority rule. In 1970, the government further adopted a constitution which enshrined political power to the white minority. In opposition, black nationalist organizations which had formed in the 1960s to fight for independence under black-majority rule, including the Zimbabwe African People’s Union (ZAPU) led by Robert Mugabe and the Zimbabwe African National Union (ZANU) led by Joshua Nkomo, began guerilla war against the Rhodesian government. Following sporadic raids from neighboring countries, the conflict intensified from December 1972. During the conflict, the Rhodesian armed forces killed suspected members of the insurgency and mostly black civilians in efforts to crush the guerilla. The conflict ended in December, 1979 with a peace agreement ending white minority rule.",Government kills civilians during effort to suppress rebellion by Black African ZAPU and ZANU guerrillas.,Suspected supporters of ZAPU/ZANU insurgency,Ethnic,,CSY
Pakistan (Baluchistan),,770,South Asia,1973,1977,1000,2500,1750,"
Between 1973 and 1977, the Pakistani government killed over a thousand civilians during efforts to suppress a Balochi separatist insurgency. Since Pakistan’s creation in 1947, Balochi nationalist movements demanding independence for the Balochistan province have clashed with the Pakistani government. Following the secession of East Pakistan (Bangladesh) in 1971, Balochistan demanded greater representation of the ethnic Baochi in government from Pakistani President Zulfikar Ali Bhutto. After the Pakistani government's alleged discovery of arms from Iraq en route to Balochi rebels, Bhutto dismissed the provincial government of Balochistan and sent the Pakistan Army into the province to suppress the subsequent armed insurgency. During the conflict between the army and the insurgents, thousands of civilians were killed by Pakistani army’s indiscriminate violence, including bombardment of villages by the Pakistani Air Force. The conflict subsided when Bhutto was overthrown in June 1977 by General Zia-ul-Haq, who then withdrew the Pakistani army from Balochistan.",Baluchi rebellion suppressed by military using indiscriminate violence against civilians. (Harff),Suspected supporters of Baluchi insurgency,Ethnic,,CSY
Chile,,155,Latin America and Caribbean,1973,1978,3200,3200,3200,"Between 1973 and 1978, the military junta government killed thousands of political opponents, supporters of the former regime and leftists following a military coup. On September 11, 1973, democratically elected socialist President Salvador Allende was overthrown by the military in a CIA-backed coup. Subsequently, the military junta took power with General Augusto Pinochet as president. In the following years, the military junta government harshly suppressed political dissidence by systematically arresting and torturing tens of thousands and executing and disappearing thousands of suspected political opponents, such as supporters of Allende, leftists and their families. The junta’s secret police, the National Intelligence Directorate (DINA), also oversaw the assassination of political opponents in exile. The killings subsided with the dissolution of DINA in November 1977 and the general amnesty law in March 1978.","In wake of military coup, supporters of former regime and other leftists are arrested, tortured, disappeared, exiled, and summarily executed. (Harff)",suspected political opponents of Pinochet regime,Political,,CSY
Ethiopia (Political Repression by Dergue - Tigre Civil War),,530,Sub-Saharan Africa,1974,1991,200000,300000,250000,"Between 1974 and 1991, the Marxist military junta government under the Derg killed hundreds of thousands of suspected political opponents and supporters of rebel movements. Following years of severe famine which destabilized Ethiopian Emperor Haile Selassie’s regime, Emperor Selassie was overthrown on September 12, 1974 by a group of army officers known as the Derg. The Derg consolidated power under the chairmanship of Mengistu Haile Mariam and fought against various political opposition groups, notably the Ethiopian People's Revolutionary Party. The guerilla war between the military junta and the EPRP led Mengistu to declare the Red Terror campaign, during which thousands of suspected counterrevolutionaries were executed in masses. The military junta government also indiscriminately killed Tigray civilians during bombing campaigns to suppress armed rebel groups in the Tigray region advocating for Tigray independence. The Derg conducted a resettlement campaign which forcibly deported hundreds of thousands from the north to the south, resulting in deaths from harsh condition and disease. From 1983 to 1985, hundreds of thousands died in widespread famine exacerbated by the Derg’s counterinsurgency policies. In 1991, Mengistu was overthrown by the Ethiopian People's Revolutionary Democratic Front, a coalition of rebel groups. ",Government represses suspected urban political opponents and suspected supporters of insurgency in Tigre.,"suspected political opponents of communist government, suspected supporters of Tigrean insurgency",Political,* Numbers seem to include famine deaths. What to do about famine deaths? Some include and others exclude famine deaths.,CSY
Nicaragua (Somoza),,93,Latin America and Caribbean,1974,1979,7000,7000,7000,"Between 1974 and 1979, th government under the Somoza family killed thousands of suspected supporters of leftist rebels during the government’s efforts to suppress the leftist Sandinista insurgency. In 1961, the left-wing Sandinista National Liberation Front (FSLN) was formed in opposition to the Somoza family's regime and began conducting guerilla operations in the countryside. In December 1974, the FSLN carried out a successful raid and hostage-taking which forced the government to concede ransom and the release of political prisoners. Subsequently, the Somoza government launched a brutal counterinsurgency campaign to uproot the FSLN, killing thousands of peasants through the indiscriminate use of violence in rural areas suspected of harboring the guerillas. In 1978, the murder of Pedro Joaquín Chamorro, an editor of a popular opposition newspaper, provoked mass popular riots and initiated the FSLN’s attack on several cities. Thousands of suspected supporters of the FSLN were killed by the military during the insurrection. The Somoza regime ended in July 1979, with the victory of the FSLN.",Government kills civilians during effort to suppress leftist Sandinista insurgency.,Suspected supporters of leftist Sandinista insurgency,Political,,CSY
Laos (Communist Repression/Hmong Civil War),,812,East Asia and Pacific,1975,1991,5000,36000,20500,"Between 1975 and 1991, the Laos government under the the communist Pathet Lao killed hundreds of thousands of the ethnic Hmong civilians suspected of supporting the American-led royalist government.  During the Laotian Civil War between 1953 and 1975, the ethnic Hmong under the leadership of Vang Pao were recruited by the CIA to fight the communist political group, the Pathet Lao. After the Pathet Lao's victory in 1975, the Hmong were massacred in retribution. Although the violence against the Hmong abated following the adoption of a new, liberal constitution, the Lao military has continued to persecute and launch military operations against Hmong civilians.",Communist government represses insurgency by Hmong tribe.,Hmong,Ethnic,,CSY
Cambodia (Khmer Rouge),,811,East Asia and Pacific,1975,1979,1000000,2000000,1500000,"Between 1975 and 1979, the government under the Communist Party of Kampuchea killed over a million Cambodians during the Khmer Rouge's policies of radical communist social engineering. On April 17, 1975, the forces of the Communist Party of Kampuchea (also known as the Khmer Rouge) entered Phnom Penh and immediately evacuated the city, forcing millions to the countryside. In the following years, the Khmer Rouge regime under Pol Pot implemented its radical vision of a communist agrarian society by closing schools and hospitals, abolishing private property and forcing people into collective farms. Agricultural collectivization and the breakdown of medical systems resulted in widespread famines and millions of deaths from malnutrition, disease, and overwork. The Khmer Rouge terrorized the population by arresting, torturing and executing “class enemies,” an arbitrary category which included intellectuals, ethnic Vietnamese, ethnic Chinese, Buddhists, urban dwellers and suspected dissidents. The rule of terror ended when the Khmer Rouge fled Phnom Penh, which was taken by the Vietnamese army in January, 1979.","Khmer Rouge initiate restructuring of society with massive deaths by starvation, deprivation, executions, and massacres of supporters of the old regime, city dwellers, and ethnic and religious minorities (particularly Muslim Chams). (Harff)","Suspected political opponents of Khmer Rouge communist government, Vietnamese, Muslims",Political and Ethnic,,CSY
Vietnam (post war political repression by communist government),,816,East Asia and Pacific,1975,1986,65000,100000,82500,"Between 1975 and 1986, the communist government of Vietnam killed hundreds of thousands of suspected political opponents. On April 30, 1975, the North Vietnamese communist forces captured Saigon, ending the second Indochina War and beginning the reunification of North and South Vietnam under a communist regime. Prior to the fall of Saigon, over a hundred thousand South Vietnamese closely associated with the South Vietnamese government or the United States had been evacuated from fear of reprisals. Among those who remained, tens of thousands of officers, civil employees, and civilians viewed as collaborators of the former South Vietnamese government or the United States were executed by the communist regime, while hundreds of thousands more were rounded up and imprisoned in “reeducation camps,” where they were detained indefinitely and subjected to indoctrination and hard labor. In the following years, hundreds of thousands in the reeducation camps died from torture, malnutrition, and disease. The communist government’s repressive policies abated with reforms in the 1980’s, particularly after the death of Communist Party chief Le Duan in 1986.","Communist government represses suspected political opponents.
This event does not include the deaths of ""boat people"" since they were not intentionally killed by the government.",Suspected political opponents of communist government,Political,,CSY
Mozambique (RENAMO),,541,Sub-Saharan Africa,1975,1992,3000,60000,31500,"Between 1975 and 1992, Mozambique's communist government under Samora Machel killed tens of thousands of suspected political opponents and civilians during the civil war. During negotiations for Mozambique’s independence in 1974, Portugal agreed to hand over power exclusively to the Frente de Libertação de Moçambique (FRELIMO), a Marxist group fighting for Mozambique’s independence since 1962. The announcement led to the exodus of an estimated 200,000 white Portuguese Mozambicans and Europeans settlers from fear of retaliation. Following independence in June 1975, FRELIMO established a Marxist one-party state with Samora Machel as president and enacted repressive policies aimed at a “Marxist revolution.” Under Machel, hundreds of thousands of suspected political opponents and “opponents of decolonization” were incarcerated in re-education camps, where tens of thousands were publically executed. From 1977, the government engaged in a civil war with the right-wing Mozambique National Resistance Movement (RENAMO), which was backed by the white-minority governments of Rhodesia and South Africa. During FRELIMO’s counterinsurgency operations, the army forcefully relocated populations and indiscriminately killed civilians suspected of assisting RENAMO. The civil war ended with a peace treaty on October 4, 1992.",Government kills civilians during effort to crush South African backed RENAMO insurgency.,Suspected supporters of RENAMO and other political opponents of the regime.,Political,"I disagree with the ""low"" estimate, which only accounts for civilians killed during the conflict with RENAMO and neglects mention of the internal repression , during which tens of thousands were  executed for being counter-revolutionaries and political opponents.",CSY
Angola (Civil War),,540,Sub-Saharan Africa,1975,2002,60000,375000,217500,"Between 1975 and 2002, the government under the Popular Movement for the Liberation of Angola (MPLA) killed hundreds of thousands of civilians during the civil war with the National Union for the Independence of Angola (UNITA) rebels. Following Angola’s independence from Portugal in 1975, three Maoist armed factions which had fought against the Portuguese competed for power: the MPLA, UNITA, and the National Liberation Front of Angola (FLNA). In January 1975, the leaders of the three groups agreed to form an interim coalition government and hold elections in time for Angola’s independence in November 1975. However, by August 1975, the coalition government collapsed after MPLA seized power and established a one-party state, leading to a civil war with heavy international involvement. While the FNLA was soon defeated in February 1976, the MPLA-led government and UNITA continued to fight a guerilla war, during which both sides used terror tactics which killed hundreds of thousands of civilians caught between the government and rebel forces. The civil war ended with the MPLA’s victory in 2002.",Both National Union for the Independence of Angola (UNITA) rebels and Popular Movement for the Liberation of Angola (MPLA) led government forces perpetrate destructive campaigns and atrocities against civilians. International attempts to reconcile the contending forces result in a cessation of genocidal tactics following the Lusaka Protocol in November 1994. (Harff),Suspected supporters of UNITA insurgency,Political,,CSY
Indonesia (East Timor),,850,East Asia and Pacific,1975,1999,80000,150000,115000,"Between 1975 and 1999, the Indonesian government killed over a hundred thousand East Timorese civilians during Indonesia’s repressive occupation of East Timor. Following a 1974 coup in Portugal and brief civil war between two pro-independence East Timorese parties, the Revolutionary Front for an Independent East Timor (FRETILIN) declared the independent East Timor on November 28, 1975. On December 7, Indonesia invaded and annexed East Timor as Indonesia's twenty-seventh province. In subsequent years, the Indonesian army maintained its occupation of East Timor using extreme violence against the East Timorese and killing hundreds of thousands through extrajudicial  executions, torture, massacre and mass starvation. During efforts to crush the FRETILIN guerilla operations, the Indonesian army bombarded entire areas of FREILIN support and imprisoned hundreds of thousands in resettlement camps, where tens of thousands died from deliberate starvation. In August 1999, the majority of East Timorese voted in favor of independence in a UN-sponsored referendum. The end of Indonesia's occupation culminated with violence, when anti-independence paramilitaries attacked civilians in a punitive campaign of violence following the referendum. Indonesian occupation ended in October 1999.",Indonesian backed coup plunges East Timor into civil war followed by Indonesian invasion.  Resisting Timorese are killed in massacres and famine. (Harff),Suspected supporters of FRETILIN separatist insurgency,Ethnic,Includes famine deaths.,CSY
Argentina,,160,Latin America and Caribbean,1976,1983,9000,30000,19500,"Between 1976 and 1983, the military junta government killed tens of thousands of suspected leftist dissidents and guerilla sympathizers following a military coup. In March 1976, a military coup overthrew Preisdent Isabel Perón and established a military junta under General Jorge Rafael Videla. The new government implemented a state of siege and martial law and began a period of state violence against political dissidents known as the “Dirty War” (Guerra Sucia). The state military and security forces arrested, tortured and executed tens of thousands of suspected leftist dissidents and sympathizers. Thousands of civilians “disappeared,” shipped off to one of many secret detention camps around the country. On October 30, 1983, Raul Alfonsin, a civilian lawyer who defended victims of the military regime, won the presidential election, officially bringing the violence to an end.","Military stages coup and declares state of siege. Death squads target subversives for disappearances, kidnappings, torture, and murder. (Harff)",suspected supporters of leftist insurgency,Political,,"Alejandro, edited by Carla"
South Africa,,560,Sub-Saharan Africa,1976,1994,2700,2700,2700,"From the 1970’s until 1994, the South African government killed over two thousand civilians in efforts to repress opposition to Apartheid and defeat insurgencies by black Africans. During South Africa’s enforcement of Apartheid, the system of racial segregation,  the security and law-enforcement agencies often killed black Africans through the use of indiscriminate and brutal force in quelling popular protests, unrest or uprisings. The government also planned, undertook, condoned and covered up extrajudicial killing of political opponents, sometimes in collusion with the Inkatha Freedom Party. The system of Apartheid ended with general elections in April 1994 and Nelson Mandela’s election to presidency in May 1994.",Government kills civilians in effort to repress political opposition to Apartheid and to defeat armed insurgency by black Africans.,Suspected supporters of African National Congress and other anti-Apartheid groups.,Ethnic,,CSY
